date,stock,industry profit rank,buy,sell,profit,total profit,same with index,open,high,close,p_change,tendays max,volume
2018-09-17,000728,3.0,1,0.0,0.0,0.0,0,6.73,6.91,6.85,1.63,6.83,156442.3
2018-09-18,000728,35.0,0,0.0,0.017621145374449355,0.0,1,6.81,6.97,6.93,1.17,6.83,149859.48
2018-09-19,000728,28.5,0,0.0,0.0,0.0,0,6.89,7.01,6.93,0.0,6.83,141397.66
2018-09-20,000728,22.0,0,0.0,-0.0043,0.0,1,6.95,6.97,6.9,-0.43,6.83,95604.78
2018-09-21,000728,35.0,0,0.0,0.0159,0.0,1,6.9,7.02,7.01,1.59,7.02,160986.88
2018-09-25,000728,36.0,0,6.94,-0.009985734664764536,0.0190895741556536,1,6.94,6.96,6.89,-1.71,7.02,89414.76
2019-03-27,000739,5.0,1,0.0,0.0,0.0,1,10.4,11.45,11.45,9.99,11.07,333515.47
2019-03-28,000739,54.0,0,0.0,-0.034210526315789525,0.0,1,11.4,11.59,11.01,-3.84,11.07,235950.52
2019-03-29,000739,60.0,0,0.0,0.01,0.0,1,10.98,11.3,11.12,1.0,11.07,234706.62
2019-04-01,000739,59.0,0,0.0,0.0189,0.0,1,11.09,11.63,11.33,1.89,11.07,227181.56
2019-04-02,000739,15.0,0,11.33,0.0,-0.0061403508771930015,1,11.33,11.52,11.44,0.97,11.07,171590.64
2019-07-01,000859,2.0,1,0.0,0.0,0.0,1,5.07,5.39,5.39,10.0,5.3,533192.75
2019-07-02,000859,22.0,0,0.0,-0.06140350877192992,0.0,0,5.7,5.84,5.35,-0.74,5.84,1011516.19
2019-07-03,000859,2.0,0,5.22,-0.02429906542056073,-0.08421052631578951,0,5.22,5.6,5.51,2.99,5.84,679750.06
2018-03-12,002074,9.0,1,0.0,0.0,0.0,0,20.98,21.85,21.85,5.2,21.27,236955.88
2018-03-13,002074,76.0,0,0.0,-0.013321084060633861,0.0,1,21.77,21.99,21.48,-1.69,21.27,151107.2
2018-03-14,002074,4.0,0,0.0,0.0521,0.0,0,21.43,22.85,22.6,5.21,21.27,321997.44
2018-03-15,002074,11.0,0,22.4,-0.008849557522124019,0.02893890675241151,0,22.4,23.64,23.2,2.65,23.64,349191.16
2018-03-06,002127,1.0,1,0.0,0.0,0.0,1,13.93,15.0,14.81,6.85,14.79,233966.52
2018-03-07,002127,4.5,0,0.0,0.007482993197278994,0.0,0,14.7,15.05,14.81,0.0,14.79,139978.33
2018-03-08,002127,10.0,0,0.0,0.0094,0.0,1,14.79,15.1,14.95,0.94,14.79,102758.32
2018-03-09,002127,35.0,0,0.0,-0.0047,0.0,1,15.0,15.3,14.88,-0.47,14.79,119473.04
2018-03-12,002127,17.0,0,0.0,0.0195,0.0,0,14.88,15.73,15.17,1.95,14.79,154940.09
2018-03-13,002127,7.0,0,15.17,0.0,0.03197278911564627,0,15.17,15.4,15.29,0.79,14.79,99943.93
2019-07-01,002198,2.0,1,0.0,0.0,0.0,1,7.01,7.4,7.38,7.27,7.3,219637.16
2019-07-02,002198,48.0,0,0.0,-0.010869565217391313,0.0,0,7.36,7.66,7.28,-1.35,7.66,260173.2
2019-07-03,002198,49.0,0,0.0,-0.0275,0.0,1,7.3,7.3,7.08,-2.75,7.66,101832.93
2019-07-04,002198,2.0,0,0.0,0.012700000000000001,0.0,0,7.09,7.42,7.17,1.27,7.66,123378.35
2019-07-05,002198,39.0,0,0.0,-0.0028000000000000004,0.0,1,7.2,7.22,7.15,-0.28,7.66,66602.94
2019-07-08,002198,15.0,0,0.0,-0.022400000000000003,0.0,1,7.15,7.15,6.99,-2.24,7.66,75206.16
2019-07-09,002198,49.0,0,6.99,0.0,-0.05027173913043481,0,6.99,7.01,6.86,-1.86,7.66,92245.0
2019-10-22,002235,6.0,1,0.0,0.0,0.0,0,8.8,9.62,9.31,5.79,9.18,873806.88
2019-10-23,002235,33.0,0,0.0,-0.0021786492374727207,0.0,0,9.18,9.33,9.16,-1.61,9.18,570330.75
2019-10-24,002235,44.0,0,0.0,-0.049100000000000005,0.0,0,9.02,9.06,8.71,-4.91,9.18,494511.75
2019-10-25,002235,26.0,0,8.65,-0.006888633754305452,-0.057734204793028265,0,8.65,8.93,8.71,0.0,9.18,331543.47
2018-03-27,002268,33.0,1,0.0,0.0,0.0,1,28.59,30.25,30.0,5.71,29.5,261504.95
2018-03-28,002268,109.0,0,0.0,-0.028698325930987353,0.0,1,29.27,29.65,28.43,-5.23,29.5,186224.44
2018-03-29,002268,52.0,0,28.18,-0.008793527963418923,-0.03723949436282881,1,28.18,28.82,28.7,0.95,29.5,178936.59
2019-12-05,002276,7.0,1,0.0,0.0,0.0,1,6.61,6.92,6.85,3.47,6.75,432594.56
2019-12-06,002276,43.0,0,0.0,0.013235294117647038,0.0,1,6.8,6.97,6.89,0.58,6.75,370589.53
2019-12-09,002276,96.0,0,0.0,-0.0058,0.0,1,6.9,6.94,6.85,-0.58,6.75,248860.41
2019-12-10,002276,7.0,0,0.0,0.0336,0.0,0,6.82,7.14,7.08,3.36,6.75,430532.81
2019-12-11,002276,6.0,0,7.08,0.0,0.04117647058823537,1,7.08,7.29,7.22,1.98,6.75,418781.47
2017-09-19,002296,3.0,1,0.0,0.0,0.0,0,10.1,10.59,10.59,9.97,10.29,167956.45
2017-09-20,002296,3.0,0,0.0,0.024545454545454506,0.0,1,11.0,11.59,11.27,6.42,11.59,758724.0
2017-09-21,002296,55.0,0,0.0,-0.055,0.0,0,10.99,11.08,10.65,-5.5,11.59,397088.31
2017-09-22,002296,51.0,0,0.0,-0.0084,0.0,1,10.6,10.84,10.56,-0.84,11.59,237342.84
2017-09-25,002296,43.0,0,0.0,-0.030299999999999997,0.0,1,10.5,10.6,10.24,-3.03,11.59,186278.55
2017-09-26,002296,11.0,0,10.3,0.005859375000000049,-0.0636363636363636,0,10.3,10.52,10.47,2.25,11.59,145623.34
2018-06-22,002434,22.0,1,0.0,0.0,0.0,0,8.59,8.79,8.79,2.33,8.69,128373.73
2018-06-25,002434,72.0,0,0.0,-0.03142536475869802,0.0,1,8.91,9.0,8.63,-1.82,9.0,131174.78
2018-06-26,002434,69.0,0,0.0,0.0,0.0,0,8.5,8.7,8.63,0.0,9.0,92651.77
2018-06-27,002434,13.0,0,8.68,0.005793742757821429,-0.02581369248035914,0,8.68,8.77,8.75,1.39,9.0,67164.02
2019-07-01,002473,1.0,1,0.0,0.0,0.0,1,8.39,9.02,9.02,10.0,8.89,26766.06
2019-07-02,002473,30.0,0,0.0,-0.047252747252747224,0.0,0,9.1,9.1,8.67,-3.88,9.1,66553.34
2019-07-03,002473,23.0,0,0.0,-0.0196,0.0,1,8.7,8.76,8.5,-1.96,9.1,28800.4
2019-07-04,002473,27.0,0,8.55,0.005882352941176554,-0.060439560439560336,1,8.55,8.59,8.4,-1.18,9.1,19662.38
2019-09-03,002518,1.0,1,0.0,0.0,0.0,0,7.99,8.75,8.75,10.06,8.64,156763.34
2019-09-04,002518,16.0,0,0.0,-0.01999999999999997,0.0,1,9.0,9.0,8.82,0.8,8.64,214416.98
2019-09-05,002518,42.0,0,0.0,-0.0091,0.0,0,8.8,8.95,8.74,-0.91,8.64,128343.85
2019-09-06,002518,11.0,0,0.0,0.0183,0.0,1,8.83,8.91,8.9,1.83,8.64,91714.42
2019-09-09,002518,7.0,0,0.0,0.0449,0.0,0,9.01,9.39,9.3,4.49,8.64,145805.45
2019-09-10,002518,12.0,0,9.34,0.004301075268817112,0.03777777777777769,0,9.34,9.37,9.37,0.75,8.64,86177.03
2019-07-01,002581,7.0,1,0.0,0.0,0.0,1,6.81,6.99,6.99,3.71,6.96,56268.59
2019-07-02,002581,15.0,0,0.0,0.0028612303290414267,0.0,1,6.99,7.11,7.01,0.29,6.96,56455.34
2019-07-03,002581,1.0,0,0.0,0.0385,0.0,0,7.01,7.48,7.28,3.85,7.48,163002.06
2019-07-04,002581,26.0,0,0.0,-0.033,0.0,1,7.23,7.27,7.04,-3.3,7.48,123356.9
2019-07-05,002581,28.0,0,0.0,-0.015600000000000001,0.0,1,7.0,7.03,6.93,-1.56,7.48,51535.61
2019-07-08,002581,28.0,0,0.0,-0.0635,0.0,1,6.83,6.83,6.49,-6.35,7.48,82833.52
2019-07-09,002581,8.0,0,6.42,-0.010785824345146423,-0.0815450643776825,0,6.42,6.55,6.52,0.46,7.48,37401.88
2017-09-13,002584,10.0,1,0.0,0.0,0.0,0,15.79,16.48,16.45,3.92,16.1,220247.5
2017-09-14,002584,66.0,0,0.0,-0.0018404907975460819,0.0,1,16.3,16.42,16.27,-1.09,16.1,151351.0
2017-09-15,002584,6.0,0,0.0,0.016,0.0,0,16.3,16.62,16.53,1.6,16.1,157037.17
2017-09-18,002584,65.0,0,16.64,0.006654567453115512,0.020858895705521352,0,16.64,16.81,16.54,0.06,16.81,79015.03
2017-08-14,002612,2.0,1,0.0,0.0,0.0,1,13.03,13.49,13.48,3.14,13.29,34149.13
2017-08-15,002612,26.0,0,0.0,-0.0014847809948033666,0.0,0,13.47,13.6,13.45,-0.22,13.29,16208.16
2017-08-16,002612,14.0,0,0.0,0.010400000000000001,0.0,1,13.61,13.9,13.59,1.04,13.9,33048.92
2017-08-17,002612,14.0,0,13.52,-0.00515084621044888,0.0037119524870081744,1,13.52,13.74,13.67,0.59,13.9,22201.72
2019-03-12,002734,3.0,1,0.0,0.0,0.0,1,13.21,13.86,13.57,3.19,13.38,46771.76
2019-03-13,002734,9.0,0,0.0,-0.023272727272727292,0.0,0,13.75,14.44,13.43,-1.03,14.44,59028.77
2019-03-14,002734,29.0,0,13.42,-0.000744601638123588,-0.02400000000000002,0,13.42,13.61,12.87,-4.17,14.44,36455.85
2018-07-13,002745,1.0,1,0.0,0.0,0.0,0,17.0,18.3,18.1,5.72,17.95,361674.91
2018-07-16,002745,6.0,0,0.0,0.047486033519553154,0.0,0,17.9,18.88,18.75,3.59,17.95,392858.81
2018-07-17,002745,9.0,0,0.0,0.0053,0.0,0,18.49,19.2,18.85,0.53,17.95,262697.91
2018-07-18,002745,3.0,0,0.0,0.0239,0.0,0,18.62,20.33,19.3,2.39,20.33,464143.59
2018-07-19,002745,8.0,0,0.0,-0.010400000000000001,0.0,0,19.1,19.67,19.1,-1.04,20.33,308997.66
2018-07-20,002745,18.0,0,0.0,0.0,0.0,0,18.7,20.19,19.1,0.0,20.33,505822.47
2018-07-23,002745,23.0,0,0.0,-0.0246,0.0,0,18.8,18.97,18.63,-2.46,20.33,225700.0
2018-07-24,002745,21.0,0,0.0,-0.015,0.0,1,18.52,18.65,18.35,-1.5,20.33,228841.77
2018-07-25,002745,5.0,0,0.0,0.0087,0.0,0,18.34,18.65,18.51,0.87,20.33,237535.16
2018-07-26,002745,9.0,0,0.0,-0.0027,0.0,1,18.35,18.77,18.46,-0.27,20.33,202103.16
2018-07-27,002745,14.0,0,0.0,-0.0087,0.0,0,18.33,18.44,18.3,-0.87,20.33,77548.0
2018-07-30,002745,3.0,0,0.0,-0.0087,0.0,0,18.3,18.5,18.14,-0.87,20.33,76565.0
2018-07-31,002745,1.0,0,0.0,0.0276,0.0,1,18.0,18.98,18.64,2.76,20.33,254420.95
2018-08-01,002745,7.0,0,0.0,-0.0102,0.0,1,18.47,18.89,18.45,-1.02,20.33,204905.77
2018-08-02,002745,7.0,0,0.0,-0.023799999999999998,0.0,1,18.37,18.39,18.01,-2.38,20.33,151431.0
2018-08-03,002745,6.0,0,0.0,-0.0072,0.0,1,17.95,18.28,17.88,-0.72,20.33,140676.0
2018-08-06,002745,22.0,0,0.0,-0.052000000000000005,0.0,0,17.55,17.74,16.95,-5.2,20.33,124341.8
2018-08-07,002745,7.0,0,16.9,-0.0029498525073746733,-0.05586592178770955,1,16.9,17.64,17.44,2.89,20.33,176483.44
2018-03-22,002771,4.0,1,0.0,0.0,0.0,0,16.1,17.64,17.64,9.97,17.36,52068.01
2018-03-23,002771,2.0,0,0.0,0.09138533178114087,0.0,0,17.18,18.99,18.75,6.29,17.36,146873.86
2018-03-26,002771,110.0,0,0.0,-0.024,0.0,1,17.3,18.66,18.3,-2.4,17.36,93937.85
2018-03-27,002771,45.0,0,0.0,0.0525,0.0,1,18.06,19.57,19.26,5.25,19.57,102779.06
2018-03-28,002771,110.0,0,0.0,-0.054000000000000006,0.0,1,18.65,19.09,18.22,-5.4,19.57,69696.09
2018-03-29,002771,89.0,0,0.0,-0.0022,0.0,0,18.09,18.58,18.18,-0.22,19.57,46748.74
2018-03-30,002771,72.0,0,0.0,0.0258,0.0,0,18.14,18.88,18.65,2.58,19.57,53509.08
2018-04-02,002771,56.0,0,0.0,0.0096,0.0,0,18.9,19.45,18.83,0.96,19.57,71918.53
2018-04-03,002771,109.0,0,0.0,-0.0425,0.0,1,18.37,18.56,18.03,-4.25,19.57,44004.57
2018-04-04,002771,20.0,0,0.0,-0.0011,0.0,0,18.29,18.84,18.01,-0.11,19.57,39452.69
2018-04-09,002771,35.0,0,0.0,0.020499999999999997,0.0,1,17.8,18.56,18.38,2.05,19.57,38467.4
2018-04-10,002771,86.0,0,0.0,-0.0229,0.0,0,18.33,18.33,17.96,-2.29,19.57,32893.0
2018-04-11,002771,14.0,0,0.0,0.04070000000000001,0.0,1,17.94,18.69,18.69,4.07,19.57,51195.35
2018-04-12,002771,107.0,0,0.0,-0.03,0.0,1,18.65,18.67,18.13,-3.0,19.57,37868.0
2018-04-13,002771,4.0,0,0.0,0.0998,0.0,1,18.26,19.94,19.94,9.98,19.57,93958.22
2018-04-16,002771,39.0,0,20.5,0.02808425275827476,0.19324796274738065,0,20.5,21.8,20.57,3.16,21.8,173500.64
2018-01-11,002842,1.0,1,0.0,0.0,0.0,0,42.41,46.2,46.2,10.0,45.65,25026.2
2018-01-12,002842,13.0,0,0.0,-0.0190476190476191,0.0,0,46.2,47.55,45.32,-1.91,47.55,42087.26
2018-01-15,002842,3.0,0,0.0,-0.0294,0.0,0,45.13,45.69,43.99,-2.94,47.55,22285.04
2018-01-16,002842,19.0,0,0.0,-0.0089,0.0,0,44.24,44.42,43.6,-0.89,47.55,21942.92
2018-01-17,002842,21.0,0,43.05,-0.012614678899082667,-0.06818181818181834,0,43.05,43.57,41.59,-4.61,47.55,20015.28
2019-07-01,002895,23.0,1,0.0,0.0,0.0,1,11.8,12.28,12.22,5.25,12.13,86531.26
2019-07-02,002895,11.0,0,0.0,0.034710743801652885,0.0,1,12.1,12.73,12.52,2.46,12.13,99780.32
2019-07-03,002895,17.0,0,0.0,0.0088,0.0,0,12.31,12.82,12.63,0.88,12.13,98281.98
2019-07-04,002895,32.0,0,0.0,0.004,0.0,0,12.77,12.77,12.68,0.4,12.13,79997.77
2019-07-05,002895,106.0,0,0.0,-0.0158,0.0,1,12.6,12.85,12.48,-1.58,12.13,65230.25
2019-07-08,002895,17.0,0,0.0,-0.011200000000000002,0.0,1,12.51,12.84,12.34,-1.12,12.13,70748.73
2019-07-09,002895,36.0,0,0.0,0.0235,0.0,0,12.5,12.67,12.63,2.35,12.13,88260.06
2019-07-10,002895,90.0,0,0.0,-0.0182,0.0,1,12.92,13.3,12.4,-1.82,12.13,116104.97
2019-07-11,002895,3.0,0,12.58,0.014516129032258041,0.03966942148760344,0,12.58,13.58,13.36,7.74,12.13,182318.5
2017-12-19,300241,2.0,1,0.0,0.0,0.0,1,16.5,17.28,17.23,4.05,17.14,111268.36
2017-12-20,300241,2.0,0,0.0,0.03759398496240614,0.0,0,17.29,18.21,17.94,4.12,17.14,115915.82
2017-12-21,300241,12.0,0,0.0,0.01,0.0,1,17.72,18.15,18.12,1.0,17.14,54123.23
2017-12-22,300241,7.0,0,0.0,0.0105,0.0,0,18.14,18.42,18.31,1.05,17.14,33342.16
2017-12-25,300241,16.0,0,0.0,-0.0235,0.0,1,18.16,18.42,17.88,-2.35,17.14,55254.46
2017-12-26,300241,20.0,0,0.0,-0.0034000000000000002,0.0,0,17.61,17.93,17.82,-0.34,17.14,47939.24
2017-12-27,300241,1.0,0,0.0,0.029700000000000004,0.0,0,18.08,18.95,18.35,2.97,18.95,108482.11
2017-12-28,300241,4.0,0,18.21,-0.007629427792915562,0.05320994794679024,1,18.21,18.73,18.48,0.71,18.95,55370.96
2017-08-14,300378,8.0,1,0.0,0.0,0.0,1,15.6,17.03,16.76,7.71,16.7,110621.76
2017-08-15,300378,22.0,0,0.0,0.014285714285714192,0.0,1,16.8,17.08,17.04,1.67,16.7,84114.27
2017-08-16,300378,86.0,0,0.0,0.0018,0.0,0,16.95,17.4,17.07,0.18,16.7,94177.72
2017-08-17,300378,49.0,0,0.0,0.016399999999999998,0.0,1,16.97,17.77,17.35,1.64,17.77,93577.29
2017-08-18,300378,83.0,0,0.0,-0.0236,0.0,0,17.1,17.25,16.94,-2.36,17.77,62808.39
2017-08-21,300378,54.0,0,0.0,0.0047,0.0,1,16.9,17.13,17.02,0.47,17.77,34324.49
2017-08-22,300378,38.0,0,0.0,-0.01,0.0,0,17.02,17.06,16.85,-1.0,17.77,33621.11
2017-08-23,300378,9.0,0,0.0,0.021400000000000002,0.0,0,16.85,17.34,17.21,2.14,17.77,44456.14
2017-08-24,300378,82.0,0,0.0,-0.023799999999999998,0.0,1,17.12,17.2,16.8,-2.38,17.77,35185.92
2017-08-25,300378,31.0,0,0.0,0.0256,0.0,1,16.82,17.35,17.23,2.56,17.77,50392.71
2017-08-28,300378,24.0,0,0.0,0.033100000000000004,0.0,1,17.2,18.05,17.8,3.31,17.77,72755.13
2017-08-29,300378,63.0,0,17.81,0.0005617977528088769,0.060119047619047405,0,17.81,17.87,17.61,-1.07,17.77,42881.06
2018-05-07,300395,3.0,1,0.0,0.0,0.0,1,16.16,16.56,16.46,2.17,16.25,81829.29
2018-05-08,300395,14.0,0,0.0,0.004901960784313621,0.0,0,16.32,16.63,16.4,-0.36,16.25,31221.5
2018-05-09,300395,1.0,0,0.0,0.0061,0.0,0,16.35,16.79,16.5,0.61,16.79,41711.44
2018-05-10,300395,15.0,0,16.48,-0.0012121212121211863,0.009803921568627416,0,16.48,16.57,16.17,-2.0,16.79,35581.18
2017-12-19,300465,1.0,1,0.0,0.0,0.0,1,9.12,9.98,9.98,10.03,9.78,138677.19
2017-12-20,300465,71.0,0,0.0,-0.036453201970443445,0.0,1,10.15,10.19,9.78,-2.0,10.19,220954.52
2017-12-21,300465,63.0,0,0.0,-0.0031,0.0,0,9.66,9.8,9.75,-0.31,10.19,128953.39
2017-12-22,300465,91.0,0,0.0,-0.0256,0.0,1,9.71,9.88,9.5,-2.56,10.19,90392.4
2017-12-25,300465,78.0,0,9.38,-0.01263157894736834,-0.07586206896551717,1,9.38,9.47,9.2,-3.16,10.19,74311.4
2019-07-25,300474,42.0,1,0.0,0.0,0.0,1,41.47,42.38,42.09,1.91,41.68,60188.16
2019-07-26,300474,71.0,0,0.0,-0.013475177304964546,0.0,0,42.3,42.38,41.73,-0.85,41.68,33459.26
2019-07-29,300474,54.0,0,0.0,0.008100000000000001,0.0,0,42.0,42.58,42.07,0.81,42.58,34604.12
2019-07-30,300474,106.0,0,41.69,-0.009032564772997445,-0.014420803782505875,0,41.69,42.08,41.05,-2.42,42.58,34888.62
2019-12-26,300543,27.0,1,0.0,0.0,0.0,1,22.78,23.4,23.33,2.01,23.12,32585.21
2019-12-27,300543,89.0,0,0.0,-0.012942191544434888,0.0,1,23.18,23.52,22.88,-1.93,23.12,22508.52
2019-12-26,300626,26.0,1,0.0,0.0,0.0,1,8.13,8.37,8.3,2.09,8.26,57880.25
2019-12-27,300626,17.5,0,0.0,0.002415458937198231,0.0,0,8.28,8.45,8.3,0.0,8.26,46959.45
2019-07-24,300735,5.0,1,0.0,0.0,0.0,1,19.66,21.46,20.77,5.65,20.12,227004.52
2019-07-25,300735,37.0,0,0.0,0.007733204446592563,0.0,1,20.69,21.35,20.85,0.39,20.12,173843.44
2019-07-26,300735,2.0,0,0.0,0.030699999999999998,0.0,1,20.94,21.89,21.49,3.07,20.12,177987.36
2019-07-29,300735,2.0,0,0.0,0.1001,0.0,0,21.6,23.64,23.64,10.01,20.12,240024.69
2019-07-30,300735,53.0,0,0.0,-0.0068000000000000005,0.0,0,24.0,24.7,23.48,-0.68,20.12,323744.75
2019-07-31,300735,7.0,0,0.0,0.034100000000000005,0.0,0,23.49,24.28,24.28,3.41,20.12,243204.34
2019-08-01,300735,20.0,0,0.0,0.0049,0.0,0,24.05,24.49,24.4,0.49,20.12,194843.41
2019-08-02,300735,65.0,0,0.0,-0.0479,0.0,1,23.47,23.76,23.23,-4.79,20.12,214275.44
2019-08-05,300735,17.0,0,0.0,0.0108,0.0,0,23.25,24.15,23.48,1.08,20.12,184545.92
2019-08-06,300735,2.0,0,0.0,0.0728,0.0,0,22.95,25.45,25.19,7.28,20.12,280883.69
2019-08-07,300735,59.0,0,25.0,-0.007542675664946458,0.20831319478008692,1,25.0,25.1,24.3,-3.53,20.12,213857.42
2019-07-19,600048,1.0,1,0.0,0.0,0.0,1,14.22,14.44,14.38,6.12,13.96,2010707.88
2019-07-22,600048,5.0,0,0.0,0.00694444444444442,0.0,0,14.4,14.85,14.5,0.83,14.85,1202744.5
2019-07-23,600048,27.0,0,0.0,-0.0138,0.0,0,14.48,14.56,14.3,-1.38,14.85,932369.5
2019-07-24,600048,17.0,0,0.0,0.0007000000000000001,0.0,1,14.38,14.47,14.31,0.07,14.85,707628.25
2019-07-25,600048,10.0,0,0.0,0.0034999999999999996,0.0,1,14.36,14.37,14.36,0.35,14.85,597925.94
2019-07-26,600048,3.0,0,0.0,0.0084,0.0,1,14.2,14.57,14.48,0.84,14.85,622115.12
2019-07-29,600048,4.0,0,0.0,-0.0007000000000000001,0.0,1,14.44,14.56,14.47,-0.07,14.85,488346.47
2019-07-30,600048,6.0,0,0.0,0.010400000000000001,0.0,1,14.46,14.71,14.62,1.04,14.85,490532.28
2019-07-31,600048,22.0,0,0.0,-0.027999999999999997,0.0,1,14.43,14.43,14.21,-2.8,14.85,996818.06
2019-08-01,600048,27.0,0,0.0,-0.0267,0.0,1,14.1,14.22,13.83,-2.67,14.85,1050505.88
2019-08-02,600048,3.0,0,13.6,-0.016630513376717313,-0.05555555555555558,1,13.6,13.92,13.82,-0.07,14.85,829014.56
2017-08-18,600086,4.0,1,0.0,0.0,0.0,1,10.86,11.16,11.08,1.65,11.0,310200.16
2017-08-21,600086,16.0,0,0.0,0.015426497277676945,0.0,1,11.02,11.19,11.19,0.99,11.0,215916.88
2017-08-22,600086,27.0,0,0.0,-0.0116,0.0,0,11.17,11.44,11.06,-1.16,11.44,292249.0
2017-08-23,600086,24.0,0,0.0,-0.0036,0.0,1,11.11,11.21,11.02,-0.36,11.44,108429.95
